KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-franconian-cosmopolitan_french-culture-num2;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;Nordrheinard;x
dynamic-franconian-culture-num1;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;Nördrheiner;x
dynamic-franconian-culture-num2;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;Teutonic;x
dynamic-gondi-avadhi-culture-num1;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;Gond-Kannauji;x
dynamic-greek-culture-num1;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;Cretan;x
dynamic-greek-culture-num2;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;Antiochian;x
dynamic-greek-culture-num3;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;Norgrek;x
dynamic-greek-culture-num4;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;x
dynamic-greek-italian-culture-num1;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;Neo-Italian;x
dynamic-hausa-al_suryah_arabic-culture-num1;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;Hausa-Mashriqi;x
dynamic-hungarian-russian_culture-culture-num1;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;Dnieprian;x
dynamic-kannada-marathi-culture-num1;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;x
dynamic-kashmiri-culture-num1;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;Zhangzhungo-Kashmiri;x
dynamic-khazak-tuvan-culture-num1;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;Naimano-Uriankhai;x
dynamic-khazar-russian_culture-culture-num1;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;Khazaro-Russian;x
dynamic-kirgiz-culture-num1;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;Oirato-Kirghiz;x
dynamic-kirgiz-culture-num2;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;x
dynamic-malvi-culture-num1;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;Malvi-Kannada;x
dynamic-mordvin-culture-num1;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;Mordvino-Khazar;x
dynamic-nepali-culture-num1;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;x
dynamic-norse-culture-num1;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;x
dynamic-norse-occitain-culture-num1;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;Norcitan;x
dynamic-norse-russian_culture-culture-num1;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;Russo-Norse;x
dynamic-norse-sapmi-culture-num1;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;Sami-Norse;x
dynamic-nubian-culture-num1;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;Alodian;x
dynamic-ostyaki-culture-num1;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;Neramkarian;x
dynamic-ostyaki-kirgiz-culture-num1;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;Ostyako-Kirghiz;x
dynamic-polish-culture-num1;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;Stezycan;x
dynamic-samoyed-vepsian-culture-num1;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;x
dynamic-slovak-culture-num1;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;Blatnozeron;x
dynamic-slovene-franconian-culture-num1;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;Carantano-Franconian;x
dynamic-sorbian-culture-num1;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;Chósebuzian;x
dynamic-sorbian-culture-num2;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;Stendalian;x
dynamic-sumpa-culture-num1;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;Baqên;x
dynamic-tangut-culture-num1;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;Qiango-Sumpa;x
dynamic-tibetan-kashmiri-culture-num1;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;x
dynamic-tocharian-uyghur-culture-num1;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;Tocharo-Uyghur;x
dynamic-uralic-russian_culture-culture-num1;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;x
